"","Diff.","Avg. score","SD","Min.","Obs. min.","Max.","Obs. max.","Prop. max.","RIT","RIR","ULI","Rel.","\(\alpha\)-drop","Missed [%]","Not-reached [%]"
"V6",0.783854166666667,4.19369400317393e-16,1.00261438354646,-3.62003089658139,-3.62003089658139,0.998214499721778,0.998214499721778,0.348958333333333,0.275062493729747,0.226799832329108,0.1484375,0.275781612587601,0.902246051150902,0,0
"V7",0.692708333333334,-8.97430278238668e-16,1.00261438354646,-2.4499080453434,-2.4499080453434,1.08680131334782,1.08680131334782,0.291666666666667,0.409829466735919,0.365920192256338,0.271875,0.410900918150606,0.900508514496303,0,0
"V8",0.335937500000001,-1.22664826791389e-15,1.00261438354646,-1.08146556295218,-1.08146556295218,2.13778076397523,2.13778076397523,0.0260416666666667,0.366302594239553,0.320768362796261,0.244791666666667,0.367260249714957,0.901075132147126,0,0
"V9",0.572048611111111,3.97829917157348e-16,1.00261438354646,-1.86382164926346,-1.86382164926346,1.39433091515461,1.39433091515461,0.203125,0.256058681037963,0.2073418110062,0.1328125,0.256728116640596,0.902487115884898,0,0
"V10",0.635416666666666,3.9913095976433e-16,1.00261438354646,-2.42325659820994,-2.42325659820994,1.39039313012046,1.39039313012046,0.125,0.310348802151378,0.263033365886423,0.174479166666667,0.311160172953385,0.901795879831726,0,0
"V11",0.418402777777778,1.75785312232316e-16,1.00261438354646,-1.39255186419308,-1.39255186419308,1.93570487346341,1.93570487346341,0.0572916666666667,0.328641629003648,0.281870682880051,0.197916666666667,0.329500824271195,0.901561185056662,0,0
"V12",0.297743055555556,8.9627379592135e-18,1.00261438354646,-0.990754473418519,-0.990754473418519,2.33679407870432,2.33679407870432,0.0208333333333333,0.533508472395708,0.495380139233999,0.3828125,0.534903268167834,0.89886943926752,0,0
"V13",0.452256944444444,3.91758384991429e-16,1.00261438354645,-1.5334211367765,-1.5334211367765,1.8571760792821,1.8571760792821,0.0520833333333333,0.627736119659789,0.595192286556228,0.447916666666667,0.629377262642543,0.897590991392346,0,0
"V14",0.544270833333333,-9.75781955236954e-17,1.00261438354645,-2.09738883234898,-2.09738883234898,1.75618682134484,1.75618682134484,0.0625,0.501993159584438,0.462226510420327,0.294270833333333,0.503305562241289,0.899291242749477,0,0
"V15",0.688368055555556,-2.29128059118603e-16,1.00261438354646,-2.49121147113978,-2.49121147113978,1.1277993923571,1.1277993923571,0.244791666666667,0.192980030961934,0.143033621222212,0.0885416666666667,0.193484554779675,0.903280433425247,0,0
"V16",0.376736111111111,-2.50378421699319e-16,1.00261438354646,-1.40497961609827,-1.40497961609827,2.32436719898285,2.32436719898285,0.03125,0.476956934524753,0.435969768156506,0.28125,0.478203882886742,0.899624296076453,0,0
